OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00106100,ALASKA PACIFIC UNIVERSITY,AK,995084672,PRIVATE, 291 , 291 ," $15,46,994.00 ",292," $8,30,513.00 ", 267 , 271 ," $16,74,604.00 ",271," $8,96,614.00 ", 31 , 33 ," $3,86,770.00 ",35," $1,92,181.00 ", 5 , 5 ," $69,730.00 ",5," $34,865.00 "
00106300,UNIVERSITY OF ALASKA FAIRBANKS,AK,997757500,PUBLIC," 1,413 "," 1,434 "," $63,94,735.00 ","1,455"," $32,90,699.00 "," 1,472 "," 1,521 "," $88,06,921.00 ","1,542"," $44,72,224.00 ", 36 , 40 ," $2,65,784.00 ",40," $1,38,160.00 ", 4 , 4 ," $68,620.00 ",4," $28,988.00 "
00106500,UNIVERSITY OF ALASKA SOUTHEAST,AK,998018680,PUBLIC, 406 , 409 ," $18,66,473.00 ",439," $10,44,946.00 ", 437 , 448 ," $29,25,528.00 ",478," $15,58,767.00 ", 8 , 8 ," $88,046.00 ",8," $44,024.00 ", -   , -   , $-   ,0, $-   
01146200,UNIVERSITY OF ALASKA ANCHORAGE,AK,995088050,PUBLIC," 2,998 "," 3,042 "," $1,27,80,036.00 ","3,045"," $64,40,086.00 "," 3,343 "," 3,432 "," $2,02,74,742.00 ","3,435"," $1,02,19,443.00 ", 123 , 125 ," $12,88,224.00 ",125," $6,45,683.00 ", 9 , 11 ," $43,878.00 ",11," $24,063.00 "
02541000,ALASKA CAREER COLLEGE,AK,995071033,PROPRIETARY, 38 , 38 ," $1,03,869.00 ",38," $52,178.00 ", 37 , 37 ," $1,34,553.00 ",37," $67,331.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02576900,CHARTER COLLEGE,AK,995084103,PROPRIETARY, 192 , 192 ," $5,16,838.00 ",193," $2,55,514.00 ", 206 , 322 ," $6,53,151.00 ",328," $2,98,655.00 ", 4 , 4 ," $20,866.00 ",5," $12,783.00 ", -   , -   , $-   ,0, $-   
03160300,AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY,AK,996640889,PUBLIC, 28 , 28 ," $91,694.00 ",28," $43,507.00 ", 42 , 42 ," $1,97,864.00 ",42," $94,351.00 ", 2 , 2 ," $17,276.00 ",2," $8,638.00 ", -   , -   , $-   ,0, $-   
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,PUBLIC," 2,675 "," 2,692 "," $1,23,43,721.00 ","2,701"," $61,78,188.00 "," 2,801 "," 2,968 "," $1,42,08,634.00 ","3,035"," $71,00,249.00 ", 231 , 236 ," $17,44,374.00 ",239," $9,27,673.00 ", 2 , 2 ," $9,524.00 ",2," $6,262.00 "
00100300,FAULKNER UNIVERSITY,AL,361093398,PRIVATE," 1,392 "," 1,403 "," $62,44,282.00 ","1,426"," $34,70,561.00 "," 1,228 "," 1,254 "," $72,95,546.00 ","1,278"," $37,88,949.00 ", 78 , 78 ," $6,11,850.00 ",79," $3,47,361.00 ", 188 , 203 ," $42,04,847.00 ",208," $21,43,612.00 "
00100400,UNIVERSITY OF MONTEVALLO,AL,351156000,PUBLIC," 1,172 "," 1,201 "," $52,91,490.00 ","1,201"," $27,00,158.00 "," 1,275 "," 1,351 "," $63,45,947.00 ","1,351"," $32,24,176.00 ", 56 , 57 ," $3,23,056.00 ",57," $1,78,279.00 ", -   , -   , $-   ,0, $-   
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350110000,PUBLIC, 481 , 487 ," $16,56,341.00 ",616," $9,73,931.00 ", 416 , 419 ," $15,90,900.00 ",487," $7,47,118.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00101200,BIRMINGHAM SOUTHERN COLLEGE,AL,352540002,PRIVATE, 441 , 447 ," $17,98,128.00 ",448," $9,34,808.00 ", 483 , 524 ," $19,02,764.00 ",524," $9,78,463.00 ", 127 , 132 ," $17,32,080.00 ",132," $8,96,559.00 ", -   , -   , $-   ,0, $-   
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,PUBLIC, 303 , 304 ," $9,34,811.00 ",305," $4,18,035.00 ", 139 , 139 ," $4,33,285.00 ",140," $1,99,909.00 ", 1 , 1 ," $9,000.00 ",1," $3,000.00 ", -   , -   , $-   ,0, $-   
00101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,PUBLIC," 2,128 "," 2,167 "," $88,46,539.00 ","2,169"," $44,82,258.00 "," 2,150 "," 2,281 "," $96,93,630.00 ","2,281"," $49,17,855.00 ", 89 , 94 ," $5,57,312.00 ",94," $2,83,008.00 ", -   , -   , $-   ,0, $-   
00101900,HUNTINGDON COLLEGE,AL,361062148,PRIVATE, 343 , 343 ," $14,10,184.00 ",345," $6,83,031.00 ", 406 , 406 ," $18,48,107.00 ",415," $8,84,845.00 ", 102 , 102 ," $9,98,307.00 ",103," $4,99,731.00 ", -   , -   , $-   ,0, $-   
00102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,PUBLIC," 3,972 "," 3,992 "," $1,82,77,528.00 ","3,993"," $96,55,986.00 "," 3,857 "," 4,101 "," $2,04,12,159.00 ","4,104"," $1,07,78,342.00 ", 175 , 177 ," $11,87,184.00 ",177," $6,12,842.00 ", 1 , 1 ," $17,790.00 ",1," $8,895.00 "
00102300,JUDSON COLLEGE,AL,367562504,PRIVATE, 129 , 132 ," $4,73,003.00 ",132," $2,55,485.00 ", 141 , 166 ," $5,14,440.00 ",167," $2,85,521.00 ", 21 , 21 ," $1,58,917.00 ",21," $84,710.00 ", -   , -   , $-   ,0, $-   
